asset_id,location_id,original_latitude,original_longitude,facility_name,risk_category,suburb
357,452219,-37.5202422,143.8744314,Invermay Primary School,CAT 3,Invermay
358,87668,-37.3008423,146.1392562,Jamieson Primary School,CAT 2,Jamieson
359,424105,-36.7476976,144.2096928,Jenny's Kindergarten Maiden Gully,CAT 3,Maiden Gully
360,314790,-38.3755483,144.9081772,Jetty Road Childcare and Kindergarten,CAT 3,Rosebud
361,463689,-38.0280213,145.9013606,Jindivick Primary School,CAT 3,Jindivick
362,165395,-37.7894057,145.3866302,Joy Avenue Kindergarten,CAT 3,Mount Evelyn
363,152345,-36.7377646,144.2787295,Kalianna OSHC,CAT 3,North Bendigo
364,152345,-36.7377646,144.2787295,Kalianna Special School,CAT 3,Bendigo
365,407099,-36.5546791,144.300568,Kalianna Special School - Whipstick Environment Centre,CAT 3,Neilborough
366,165683,-37.8843739,145.3708211,Kallista Kindergarten,CAT 2,Kallista
367,165683,-37.8822686,145.3713226,Kallista OSHClub,CAT 2,Kallista
368,165683,-37.8822686,145.3713226,Kallista Primary School,CAT 2,Kallista
369,264563,-37.6902608,145.2136135,Kangaroo Ground Preschool Inc,CAT 3,Kangaroo Ground
370,264564,-37.6912493,145.2148492,Kangaroo Ground Primary Combined OSHC,CAT 3,Kangaroo Ground
371,264564,-37.6912493,145.2148492,Kangaroo Ground Primary School,CAT 3,Kangaroo Ground
372,420865,-36.7699933,144.3100691,Kennington Primary School,CAT 3,Kennington
373,420865,-36.7699933,144.3100691,Kennington Primary School - Bendigo Deaf Facility,CAT 3,Kennington
374,406720,-36.532378,147.3736458,Kids on Campus Mitta Mitta,CAT 2,Mitta Mitta
375,322933,-38.115678,145.1806027,Kinder at Flinders,CAT 3,Carrum Downs
376,193578,-37.5212792,145.3570785,Kinglake Primary School,CAT 2,Kinglake
377,193578,-37.5212792,145.3570785,Kinglake Primary School Combined OSHC,CAT 2,Kinglake
378,103935,-37.4589652,145.3251161,Kinglake Ranges Children's Centre,CAT 2,Kinglake Central
379,124242,-37.481744,145.2594698,Kinglake West Primary School,CAT 2,Kinglake West
380,94959,-37.4878507,145.298435,Kinglake West PS TheirCare,CAT 2,Kinglake Central
381,398833,-35.6358328,144.1293665,Koondrook Preschool,CAT 3,Koondrook
382,398833,-35.6358328,144.1293665,Koondrook Primary School,CAT 3,Koondrook
383,229202,-34.2777181,142.0845241,Koorlong Primary School,CAT 3,Koorlong
384,276725,-37.7741916,145.2570457,Kurboroo Kindergarten,CAT 3,Warranwood
385,2647,-38.0384128,145.8047396,Labertouche OSHClub,CAT 3,Labertouche
386,2647,-38.0383491,145.8048095,Labertouche Primary School,CAT 3,Labertouche
387,275928,-37.8227842,148.1019025,Lake Tyers Early Learning Centre,CAT 3,Lake Tyers
388,426773,-36.7379729,147.1737279,Lake View Children's Centre,CAT 3,Mount Beauty
389,253778,-37.6768268,144.0108709,Lal Lal After School Kids,CAT 2,Lal Lal
390,253778,-37.6768268,144.0108709,Lal Lal Primary School,CAT 2,Lal Lal
391,77170,-37.2753396,144.7278073,Lancefield Childrens Centre,CAT 3,Lancefield
392,77171,-37.2771569,144.7403233,Lancefield Early Education Centre,CAT 3,Lancefield
393,77170,-37.2745843,144.7274093,Lancefield Primary School,CAT 3,Lancefield
394,449781,-37.0056307,143.1361618,Landsborough Primary School,CAT 3,Landsborough
395,322939,-38.1688632,145.1876443,Lang Park Early Learning Centre and Kindergarten,CAT 3,Langwarrin
396,252354,-37.1710964,144.4896629,Langley Primary School,CAT 3,Langley
397,120862,-37.7811711,145.5672473,Launching Place Preschool,CAT 3,Launching Place
398,120862,-37.7821527,145.5708853,Launching Place Primary School,CAT 3,Launching Place
399,120862,-37.7826791,145.5697414,Launching Place PS OSHC - Extend,CAT 3,Launching Place
400,247554,-37.6739032,145.1512368,Launchpad Diamond Creek,CAT 3,Diamond Creek
401,66531,-37.2388883,146.2085294,Lauriston Girls' School - Howqua Campus,CAT 3,Howqua
402,178696,-38.6815925,143.3815983,Lavers Hill and District Preschool,CAT 1,Lavers Hill
403,178696,-38.6820403,143.3843317,Lavers Hill K-12 College,CAT 1,Lavers Hill
404,261714,-37.6300858,145.2134387,Learning Co-Operative School,CAT 3,Cottles Bridge
405,286320,-37.9281627,145.356792,Len Jeffrey Memorial Kindergarten,CAT 3,Belgrave South
406,431640,-36.7364467,144.2690879,Lightning Reef Primary School,CAT 3,Bendigo
407,152346,-36.743012,144.2737154,Lightning Reef YMCA Early Learning Centre,CAT 3,North Bendigo
408,160828,-37.6837693,143.5609319,Linton Primary School,CAT 2,Linton
409,243893,-37.6382254,145.0959666,Little Assets South Morang Early Learning Centre,CAT 3,South Morang
410,447110,-37.5431455,143.8954455,Little Bendigo Primary School,CAT 2,Nerrina
411,68839,-37.0025582,145.0389985,Little Foot Steps,CAT 3,Puckapunyal
412,285295,-37.9589172,145.3773732,Little Joey's Early Learning,CAT 3,Narre Warren East
413,387416,-36.3112699,146.8439248,Little Yacks Learning Years (LYLY),CAT 3,Yackandandah
414,269963,-37.7931176,145.6313743,Little Yarra Steiner Kindergarten,CAT 3,Yarra Junction
415,269963,-37.7931176,145.6313743,Little Yarra Steiner School,CAT 3,Yarra Junction
416,272050,-38.0581828,147.5664374,Loch Sport Primary School,CAT 3,Loch Sport
417,419789,-36.8027658,144.1615096,Lockwood Primary School,CAT 3,Lockwood
